 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           min           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2003       6      60  aqu60                     0.000          5.001        249.965          8.561          0.428          8.147         23.089          0.000          0.000          0.000          1.064          0.000          0.000          0.040          0.000          0.000          0.000
   365    12    31  2003       7      70  aqu70                     0.000          3.896        305.182         40.024          2.001         39.947         39.757          0.000          0.000          0.000          1.777          0.000          0.000          0.261          0.000          0.000          0.000
   365    12    31  2003       8      80  aqu80                     0.000          5.001        249.975         12.311          0.616         11.672         26.466          0.000          0.000          0.000          1.041          0.000          0.000          0.065          0.000          0.000          0.000
   365    12    31  2003       9      90  aqu90                     0.000          5.000        249.982         14.789          0.739         14.070         28.224          0.000          0.000          0.000          0.993          0.000          0.000          0.083          0.000          0.000          0.000
   365    12    31  2003      10       7  aqu_deep7                 0.000         19.453       2416.423          0.982          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   366    12    31  2004       1      10  aqu10                     0.000          5.000        250.020         28.434          1.422         26.936         42.760          0.000          0.000          0.000          2.195          0.000          0.000          0.244          0.000          0.000          0.000
   366    12    31  2004       2      20  aqu20                     0.000          5.000        250.001         21.305          1.065         20.154         34.835          0.000          0.000          0.000          2.051          0.000          0.000          0.149          0.000          0.000          0.000
   366    12    31  2004       3      30  aqu30                     0.000          5.000        249.991         18.514          0.926         17.538         32.081          0.000          0.000          0.000          1.928          0.000          0.000          0.119          0.000          0.000          0.000
   366    12    31  2004       4      40  aqu40                     0.000          5.000        250.009         24.115          1.206         22.983         38.037          0.000          0.000          0.000          2.064          0.000          0.000          0.184          0.000          0.000          0.000
   366    12    31  2004       5      50  aqu50                     0.000          4.458        277.113         37.778          1.889         39.881         48.507          0.000          0.000          0.000          2.250          0.000          0.000          0.331          0.000          0.000          0.000
   366    12    31  2004       6      60  aqu60                     0.000          5.000        249.978         12.988          0.649         12.258         24.431          0.000          0.000          0.000          1.919          0.000          0.000          0.064          0.000          0.000          0.000
   366    12    31  2004       7      70  aqu70                     0.000          3.936        303.194         40.030          2.001         39.881         41.223          0.000          0.000          0.000          1.712          0.000          0.000          0.272          0.000          0.000          0.000
   366    12    31  2004       8      80  aqu80                     0.000          5.000        249.982         14.615          0.731         13.895         27.669          0.000          0.000          0.000          1.814          0.000          0.000          0.082          0.000          0.000          0.000
   366    12    31  2004       9      90  aqu90                     0.000          5.000        249.983         15.275          0.764         14.519         29.298          0.000          0.000          0.000          1.696          0.000          0.000          0.090          0.000          0.000          0.000
   366    12    31  2004      10       7  aqu_deep7                 0.000         19.421       2417.378          1.050          0.000          0.000          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
   365    12    31  2005       1      10  aqu10                     0.000          4.998        250.082         31.587          1.579         30.042         44.940          0.000          0.000          0.000          2.528          0.000          0.000          0.284          0.000          0.000          0.000
   365    12    31  2005       2      20  aqu20                     0.000          5.000        250.019         25.333          1.267         24.140         36.887          0.000          0.000          0.000          2.187          0.000          0.000          0.187          0.000          0.000          0.000
