 Trial_Robit               SWAT+ Oct 10 2019    MODULAR Rev 2019.60.1                                     
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in          flo_out          peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len
                                                                    m^3/s           m^3/s           m^3/s          m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m
   365    12    31  1991      66      66  cha66                0.2011E+01     0.0000E+00     0.2011E+01     0.1058E+01     0.9481E-05     0.4746E+03     0.4740E-05     0.4740E-05    -0.4708E+03     0.4708E+03     0.0000E+00     0.3787E+01     0.1225E+01     0.9874E+00     0.4116E-01     0.3571E+00     0.0000E+00     0.5622E-01
   365    12    31  1991      67      67  cha67                0.9553E+00     0.0000E+00     0.9553E+00     0.5025E+00     0.2171E-04     0.6054E+03     0.1086E-04     0.1086E-04    -0.6042E+03     0.6042E+03     0.0000E+00     0.1174E+01     0.7689E+00     0.1395E+01     0.7249E-01     0.5255E+00     0.0000E+00     0.3785E-01
   365    12    31  1991      68      68  cha68                0.9073E+00     0.0000E+00     0.9073E+00     0.4773E+00     0.8056E-05     0.2994E+03     0.4028E-05     0.4028E-05    -0.2982E+03     0.2982E+03     0.0000E+00     0.1139E+01     0.7580E+00     0.6555E+00     0.3966E-01     0.2452E+00     0.0000E+00     0.3763E-01
   365    12    31  1991      69      69  cha69                0.4503E+00     0.0000E+00     0.4502E+00     0.2369E+00     0.3663E-04     0.2782E+03     0.1831E-04     0.1831E-04    -0.2778E+03     0.2778E+03     0.0000E+00     0.3767E+00     0.4882E+00     0.8359E+00     0.6113E-01     0.3152E+00     0.0000E+00     0.2590E-01
   365    12    31  1991      70      70  cha70                0.2604E+00     0.0000E+00     0.2604E+00     0.1370E+00     0.1926E-04     0.3154E+02     0.9632E-05     0.9632E-05    -0.3138E+02     0.3138E+02     0.0000E+00     0.1674E+00     0.3527E+00     0.4425E+00     0.4994E-01     0.1841E+00     0.0000E+00     0.1979E-01
   365    12    31  1991      71      71  cha71                0.1009E+00     0.0000E+00     0.1009E+00     0.5306E-01     0.5943E-07     0.1185E+03     0.2971E-07     0.2971E-07    -0.1185E+03     0.1185E+03     0.0000E+00     0.3728E-01     0.3024E+00     0.6625E+01     0.1071E+01     0.2531E+01     0.0000E+00     0.5697E-02
   365    12    31  1991      72      72  cha72                0.7011E+00     0.0000E+00     0.7011E+00     0.3688E+00     0.4583E-04     0.1418E+04     0.2291E-04     0.2291E-04    -0.1417E+04     0.1417E+04     0.0000E+00     0.7821E+00     0.6516E+00     0.1683E+01     0.1008E+00     0.6574E+00     0.0000E+00     0.3323E-01
   365    12    31  1991      73      73  cha73                0.4844E+00     0.0000E+00     0.4844E+00     0.2548E+00     0.3953E-04     0.1423E+03     0.1976E-04     0.1976E-04    -0.1418E+03     0.1418E+03     0.0000E+00     0.4211E+00     0.5105E+00     0.4939E+00     0.4363E-01     0.2132E+00     0.0000E+00     0.2688E-01
   365    12    31  1991      74      74  cha74                0.9020E+00     0.0000E+00     0.9019E+00     0.4745E+00     0.7339E-04     0.1117E+04     0.3669E-04     0.3669E-04    -0.1116E+04     0.1116E+04     0.0000E+00     0.1086E+01     0.7450E+00     0.1265E+01     0.6849E-01     0.4863E+00     0.0000E+00     0.3692E-01
   365    12    31  1991      75      75  cha75                0.1944E+00     0.0000E+00     0.1944E+00     0.1023E+00     0.8308E-05     0.2180E+03     0.4154E-05     0.4154E-05    -0.2179E+03     0.2179E+03     0.0000E+00     0.1288E+00     0.3096E+00     0.3082E+01     0.3121E+00     0.1136E+01     0.0000E+00     0.1892E-01
   365    12    31  1991      76      76  cha76                0.2556E+00     0.0000E+00     0.2556E+00     0.1345E+00     0.1214E-04     0.3251E+02     0.6068E-05     0.6068E-05    -0.3232E+02     0.3232E+02     0.0000E+00     0.1906E+00     0.3626E+00     0.3719E+00     0.4528E-01     0.1439E+00     0.0000E+00     0.2152E-01
   365    12    31  1991      77      77  cha77                0.2036E+00     0.0000E+00     0.2036E+00     0.1071E+00     0.1481E-04     0.9467E+01     0.7403E-05     0.7403E-05    -0.9351E+01     0.9351E+01     0.0000E+00     0.1156E+00     0.3042E+00     0.5908E+00     0.5799E-01     0.1986E+00     0.0000E+00     0.1748E-01
   365    12    31  1991      78      78  cha78                0.1653E+00     0.0000E+00     0.1653E+00     0.8695E-01     0.1529E-04     0.1361E+03     0.7644E-05     0.7644E-05    -0.1360E+03     0.1360E+03     0.0000E+00     0.1328E+00     0.3096E+00     0.3846E+01     0.5796E+00     0.1417E+01     0.0000E+00     0.1951E-01
